2024-01-27 17:16:52 INFO  cic.cs.unb.ca.ifm.Cmd    Please select pcap!
2024-01-27 17:17:05 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:11:02 DEBUG cic.cs.unb.ca.jnetpcap.worker.InsertCsvRow    C:\Users\mahal\Downloads\helloworld.pcap_Flow.csv (The process cannot access the file because it is being used by another process)
2024-01-27 18:22:23 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select input C:\Users\mahal\Downloads\helloworld.pcap
2024-01-27 18:22:26 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select output C:\Users\mahal\Downloads
2024-01-27 18:22:27 DEBUG cic.cs.unb.ca.jnetpcap.worker.ReadPcapFileWorker    Working on... C:\Users\mahal\Downloads\helloworld.pcap
2024-01-27 18:22:28 DEBUG cic.cs.unb.ca.jnetpcap.PacketReader    Read All packets on C:\Users\mahal\Downloads\helloworld.pcap
2024-01-27 19:07:58 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select input C:\Users\mahal\Downloads\captured_packets.pcap
2024-01-27 19:08:00 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select output C:\Users\mahal\Downloads
2024-01-27 19:08:01 DEBUG cic.cs.unb.ca.jnetpcap.worker.ReadPcapFileWorker    Working on... C:\Users\mahal\Downloads\captured_packets.pcap
2024-01-27 19:08:01 DEBUG cic.cs.unb.ca.jnetpcap.PacketReader    Read All packets on C:\Users\mahal\Downloads\captured_packets.pcap
2024-01-27 19:14:14 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select input C:\Users\mahal\Downloads\captured_packets (1).pcap
2024-01-27 19:14:16 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select output C:\Users\mahal\Downloads
